,iteration,rgap,alpha,warnings
0,1,inf,1.0,
1,2,0.9363292031618125,0.38736566831300484,
2,3,0.8252362380442675,0.2344351607117,
3,4,0.15921948273912495,0.04454688284142038,
4,5,0.06829077699615803,0.03440452777472348,
5,6,0.054752355153736124,0.026997076456406793,
6,7,0.0628387893188692,0.02647506016342201,
7,8,0.04857268553037863,0.02521410016684547,
8,9,0.04874212468557189,0.023076860486976575,
9,10,0.03935853529734517,0.018244766908982222,
10,11,0.042676335474081256,0.017485343273270157,
11,12,0.03506918761881403,0.016196429163291608,
12,13,0.033633157383263446,0.017059484363290533,
13,14,0.027135200040400157,0.012189725388120593,
14,15,0.030434848018688804,0.012810473726905604,
15,16,0.028687531896231345,0.01323294289129547,
16,17,0.028443813831245137,0.013459767756776458,
17,18,0.02486748536582825,0.011495630717281432,
18,19,0.02715769540669475,0.011143205844860398,
19,20,0.0227913349192524,0.010516092885153764,
20,21,0.02254567201398723,0.009420842553944752,
21,22,0.019291429682311647,0.00889492093911322,
22,23,0.022759531149128993,0.01073567713014633,
23,24,0.020060041166062893,0.009252812161511186,
24,25,0.019280002443262938,0.007885624983112878,
25,26,0.016319081451551875,0.007525976911652595,
26,27,0.018346354315372983,0.008646916843624902,
27,28,0.01628833740598442,0.007516508432464202,
28,29,0.016761073022181924,0.0068651140971355,
29,30,0.014242904191734128,0.006569012767523639,
30,31,0.016248858309241186,0.004551895891544384,
31,32,0.01080744449808562,0.0051566705010031,
32,33,0.01612695294157943,0.007434468140687881,
33,34,0.015489333159562402,0.006480253091362616,
34,35,0.01460722340086387,0.006200915163153911,
35,36,0.014548512830215018,0.007247847440527794,
36,37,0.014465888807409193,0.0068643611933561395,
37,38,0.014010544131930185,0.0070200599167944055,
38,39,0.013993516917836329,0.006262181077006415,
39,40,0.012824182032262673,0.006427194890880972,
40,41,0.013440720557500944,0.006031657590822519,
41,42,0.012143075666153913,0.006087486070314773,
42,43,0.012932061518247353,0.00572344501925749,
43,44,0.012525372619640329,0.0032363835728532785,
44,45,0.007659965412507199,0.003540898007340944,
45,46,0.012427818587303045,0.005195060975437466,
46,47,0.010779132947447713,0.004971468556863925,
47,48,0.01346833344776976,0.006418319082930079,
48,49,0.011927245896219026,0.0055050286421483895,
49,50,0.012235624942211285,0.0050192459940477385,
50,51,0.010447523188227491,0.004820544371570348,
51,52,0.01168058577948001,0.005568946618660869,
52,53,0.010377135282672645,0.004793238833295139,
53,54,0.011865847430100199,0.00497294830789676,
54,55,0.010307710169197036,0.004756799502496188,
55,56,0.010655842409541236,0.004927361294028755,
56,57,0.009443248671607266,0.004361244517854727,
57,58,0.011284526363327337,0.0029185959728828532,
58,59,0.006260065975043944,0.002893428406410448,
59,60,0.010379288088045205,0.00495556081220313,
60,61,0.009257875177679014,0.004277752958899271,
61,62,0.011459535115973455,0.004811551851588765,
62,63,0.009970826484296098,0.0046016648148099176,
63,64,0.0097201548830901,0.003990443660863107,
64,65,0.008324880466466868,0.0038419866536616113,
65,66,0.010464556467238439,0.00499753439301872,
66,67,0.009334814762563709,0.004310345039209807,
67,68,0.00963075771025327,0.004037872561531188,
68,69,0.008390802318108473,0.003873074582947132,
69,70,0.009187519289510114,0.004388985778295768,
70,71,0.008213239417600188,0.003794545100478671,
71,72,0.010147755359804332,0.002595419783554107,
72,73,0.005583377229304382,0.0025812593402152373,
73,74,0.009005294916224964,0.0037748315964150373,
74,75,0.007851671635641957,0.003624069532933245,
75,76,0.00925052401083288,0.0044196272879736655,
76,77,0.0082716628353582,0.003820444713400878,
77,78,0.008951416376240601,0.0036793905471886952,
78,79,0.007672016371736107,0.003542159468826775,
79,80,0.008236259421540826,0.003936146770508603,
80,81,0.007377855333431278,0.003409293890112801,
81,82,0.008701902695099309,0.003653288647893964,
82,83,0.007593370623504763,0.0035062667666042996,
83,84,0.007732475293236044,0.0035839181542701853,
84,85,0.006895552932442031,0.0031859736893678037,
85,86,0.00846227356762811,0.0021940017703233317,
86,87,0.004711313048783913,0.002177950135170524,
87,88,0.00759223564106702,0.0036318651663342742,
88,89,0.006816595807626427,0.00315061351650875,
89,90,0.0085344692155472,0.0035876576797364396,
90,91,0.007454649376737752,0.003442408538323145,
91,92,0.007265672506857291,0.0029876945414553367,
92,93,0.0062399805085424365,0.002881545427496083,
93,94,0.0078107610761236285,0.0037370568620851996,
94,95,0.007011177414152941,0.003238930426575216,
95,96,0.007275982060897272,0.0030551086599189406,
96,97,0.006360431011228131,0.002937516884164465,
97,98,0.006956755890366296,0.0033291049323222266,
98,99,0.006266022316943934,0.003199109518891751,
99,100,0.0073743329925742744,0.0019137549157877908,
